date,daily_aqi,n_monitor_readings,n_sites,pollutants_used,dominant_pollutant,dominant_site
2016-11-28,64,24,16,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-11-29,61,27,16,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-11-30,63,21,13,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-12-01,72,25,16,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-12-02,69,30,17,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-12-03,71,24,16,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-12-04,90,23,16,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-12-05,83,28,17,"Ozone,PM2.5",PM2.5,Reseda
2016-12-06,70,22,15,"Ozone,PM2.5",PM2.5,Santa Clarita
2016-12-07,77,24,16,"Ozone,PM2.5",PM2.5,Reseda
2016-12-08,74,33,17,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
