date,daily_aqi,n_monitor_readings,n_sites,pollutants_used,dominant_pollutant,dominant_site
2016-07-29,206.0,56,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-07-30,122.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-07-31,101.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-08-01,105.0,61,17,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-08-02,119.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-08-03,122.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-08-04,147.0,59,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-08-05,136.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-08-06,140.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-08-07,136.0,57,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-08-08,156.0,50,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-08-09,129.0,50,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-08-10,119.0,55,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-08-11,129.0,52,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-08-12,77.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-08-13,136.0,60,17,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-08-14,172.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-08-15,112.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Pomona
2016-08-16,97.0,62,17,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-08-17,115.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-08-18,84.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-08-19,100.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-08-20,75.0,52,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
