date,daily_aqi,n_monitor_readings,n_sites,pollutants_used,dominant_pollutant,dominant_site
2016-06-23,151.0,51,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-06-24,122.0,47,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-06-25,187.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-06-26,195.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-06-27,177.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-06-28,133.0,42,14,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-06-29,210.0,47,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-06-30,166.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-07-01,105.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-07-02,122.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-07-03,84.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-07-04,90.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-07-05,129.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-07-06,136.0,45,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-07-07,126.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-07-08,126.0,50,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-07-09,133.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-07-10,87.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Azusa
2016-07-11,108.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-07-12,133.0,46,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-07-13,156.0,44,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-07-14,156.0,51,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-07-15,126.0,45,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-07-16,143.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-07-17,133.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-07-18,115.0,45,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-07-19,115.0,47,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-07-20,105.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-07-21,105.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-07-22,169.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-07-23,182.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-07-24,158.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Lancaster-Division Street
2016-07-25,134.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Lancaster-Division Street
2016-07-26,133.0,52,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-07-27,112.0,47,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-07-28,172.0,41,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-07-29,206.0,47,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-07-30,122.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-07-31,101.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-08-01,105.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-08-02,119.0,47,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-08-03,122.0,47,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-08-04,147.0,50,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-08-05,136.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-08-06,140.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-08-07,136.0,49,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-08-08,156.0,43,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-08-09,129.0,44,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-08-10,119.0,47,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-08-11,129.0,44,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-08-12,77.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-08-13,136.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-08-14,172.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-08-15,112.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Pomona
2016-08-16,97.0,52,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-08-17,115.0,47,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-08-18,84.0,46,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-08-19,100.0,47,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-08-20,59.0,47,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-08-21,77.0,47,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Azusa
